dirname,filename,molecule_name,distance,fci_energy,1st_excited_energy,nfev,qc_energy_0,qc_energy_1,time_elapsed
LiH_sto-3g,LiH_sto-3g_singlet_0.80.hdf5,LiH,0.8,-7.634167329,-7.514698936,814,-7.627610967,-7.490044981,142.2792621
LiH_sto-3g,LiH_sto-3g_singlet_0.90.hdf5,LiH,0.9,-7.723423721,-7.591579416,904,-7.716357707,-7.566189235,157.2908964
LiH_sto-3g,LiH_sto-3g_singlet_1.00.hdf5,LiH,1,-7.78446028,-7.644498843,272,-7.775388401,-7.617020352,47.62890935
LiH_sto-3g,LiH_sto-3g_singlet_1.10.hdf5,LiH,1.1,-7.825536958,-7.681108027,272,-7.81353996,-7.653323567,47.72026563
LiH_sto-3g,LiH_sto-3g_singlet_1.20.hdf5,LiH,1.2,-7.852430853,-7.70653091,1266,-7.847797883,-7.674541481,219.920804
LiH_sto-3g,LiH_sto-3g_singlet_1.30.hdf5,LiH,1.3,-7.869139976,-7.724155833,272,-7.852593386,-7.689374763,47.70930552
LiH_sto-3g,LiH_sto-3g_singlet_1.40.hdf5,LiH,1.4,-7.878453652,-7.73623573,2441,-7.875364319,-7.701584708,423.737802
LiH_sto-3g,LiH_sto-3g_singlet_1.50.hdf5,LiH,1.5,-7.882362287,-7.744299562,543,-7.872075237,-7.696077389,94.42034149
LiH_sto-3g,LiH_sto-3g_singlet_1.60.hdf5,LiH,1.6,-7.882324379,-7.749414694,995,-7.876271556,-7.676824436,173.4997225
LiH_sto-3g,LiH_sto-3g_singlet_1.70.hdf5,LiH,1.7,-7.879433517,-7.752347684,272,-7.87304586,-7.652066868,47.78713107
LiH_sto-3g,LiH_sto-3g_singlet_1.80.hdf5,LiH,1.8,-7.874524025,-7.753661382,543,-7.845852633,-7.554671005,94.5917232
LiH_sto-3g,LiH_sto-3g_singlet_1.90.hdf5,LiH,1.9,-7.868240794,-7.753773849,272,-7.861837176,-7.503920813,47.86903238
LiH_sto-3g,LiH_sto-3g_singlet_2.00.hdf5,LiH,2,-7.861087772,-7.752995014,181,-7.847842841,-7.425196693,31.84043455
